#Ex-MESA profile, from 0.77M_RGB_jstaff.data
#[Mass]                  [Pressure]              [Temperature]           [Radius]                [Density]               [E_internal]            
1.5370495e+33           5.4895539e+02           3.0926775e+03           1.1737006e+13           2.8703067e-09           2.8687983e+11          
1.5370407e+33           5.5273668e+02           3.0954063e+03           1.1735237e+13           2.8872863e-09           2.8715718e+11          
1.5370319e+33           5.5746815e+02           3.0988213e+03           1.1733478e+13           2.9084772e-09           2.8750517e+11          
1.5370187e+33           5.6315259e+02           3.1029257e+03           1.1730855e+13           2.9338705e-09           2.8792303e+11          
1.5370055e+33           5.7071745e+02           3.1083909e+03           1.1728254e+13           2.9675505e-09           2.8847906e+11          
1.5369835e+33           5.8724035e+02           3.1203448e+03           1.1723984e+13           3.0406568e-09           2.8969416e+11          
1.5369288e+33           6.0617178e+02           3.1341169e+03           1.1713573e+13           3.1236188e-09           2.9109111e+11          
1.5368960e+33           6.2678754e+02           3.1491868e+03           1.1707490e+13           3.2130211e-09           2.9261597e+11          
1.5368337e+33           6.5193751e+02           3.1678028e+03           1.1696238e+13           3.3206348e-09           2.9449377e+11          
1.5367804e+33           6.8600133e+02           3.1933818e+03           1.1686914e+13           3.4639128e-09           2.9706348e+11          
1.5366776e+33           7.2789965e+02           3.2260213e+03           1.1669628e+13           3.6355859e-09           3.0032284e+11          
1.5365895e+33           7.5866097e+02           3.2509504e+03           1.1655483e+13           3.7582302e-09           3.0279983e+11          
1.5365381e+33           7.8924002e+02           3.2764292e+03           1.1647481e+13           3.8774480e-09           3.0531938e+11          
1.5364512e+33           8.3089881e+02           3.3131082e+03           1.1634350e+13           4.0344016e-09           3.0893013e+11          
1.5363505e+33           8.6749480e+02           3.3477927e+03           1.1619690e+13           4.1662094e-09           3.1233241e+11          
1.5362873e+33           8.9699770e+02           3.3772592e+03           1.1610751e+13           4.2685617e-09           3.1521075e+11          
1.5362188e+33           9.3246118e+02           3.4149994e+03           1.1601290e+13           4.3861885e-09           3.1888547e+11          
1.5361294e+33           9.7511947e+02           3.4647612e+03           1.1589254e+13           4.5185082e-09           3.2370843e+11          
1.5360297e+33           1.0181911e+03           3.5209765e+03           1.1576185e+13           4.6403894e-09           3.2912898e+11          
1.5359393e+33           1.0587248e+03           3.5799302e+03           1.1564633e+13           4.7436072e-09           3.3478473e+11          
1.5358514e+33           1.0906966e+03           3.6317436e+03           1.1553625e+13           4.8156543e-09           3.3973472e+11          
1.5357993e+33           1.1226446e+03           3.6870711e+03           1.1547174e+13           4.8810467e-09           3.4500118e+11          
1.5357118e+33           1.1530920e+03           3.7462241e+03           1.1536494e+13           4.9331433e-09           3.5061581e+11          
1.5356667e+33           1.1745683e+03           3.7905804e+03           1.1531030e+13           4.9655088e-09           3.5481810e+11          
1.5356185e+33           1.2056860e+03           3.8593679e+03           1.1525230e+13           5.0052768e-09           3.6132447e+11          
1.5355317e+33           1.2406419e+03           3.9459603e+03           1.1514854e+13           5.0364123e-09           3.6950169e+11          
1.5354674e+33           1.2619280e+03           4.0023069e+03           1.1507200e+13           5.0502071e-09           3.7481472e+11          
1.5354399e+33           1.2810556e+03           4.0539611e+03           1.1503938e+13           5.0610235e-09           3.7968278e+11          
1.5353850e+33           1.3206850e+03           4.1633411e+03           1.1497423e+13           5.0798329e-09           3.8997888e+11          
1.5352697e+33           1.3691352e+03           4.2975916e+03           1.1483763e+13           5.1010408e-09           4.0260467e+11          
1.5351778e+33           1.4016978e+03           4.3859318e+03           1.1472910e+13           5.1167610e-09           4.1091361e+11          
1.5351309e+33           1.4399377e+03           4.4877232e+03           1.1467377e+13           5.1366749e-09           4.2048729e+11          
1.5350152e+33           1.4919768e+03           4.6179982e+03           1.1453754e+13           5.1718989e-09           4.3271634e+11          
1.5349106e+33           1.5294478e+03           4.7065045e+03           1.1441503e+13           5.2020529e-09           4.4101275e+11          
1.5348573e+33           1.5554005e+03           4.7661755e+03           1.1435273e+13           5.2240408e-09           4.4660844e+11          
1.5348015e+33           1.5867841e+03           4.8366787e+03           1.1428786e+13           5.2516008e-09           4.5322870e+11          
1.5347256e+33           1.6236891e+03           4.9179564e+03           1.1419987e+13           5.2845588e-09           4.6087738e+11          
1.5346471e+33           1.6619223e+03           5.0020632e+03           1.1410938e+13           5.3176211e-09           4.6879676e+11          
1.5345661e+33           1.6911457e+03           5.0679015e+03           1.1401639e+13           5.3405014e-09           4.7499634e+11          
1.5345256e+33           1.7217142e+03           5.1384995e+03           1.1397005e+13           5.3619611e-09           4.8164676e+11          
1.5344392e+33           1.7582575e+03           5.2299031e+03           1.1387145e+13           5.3795510e-09           4.9026140e+11          
1.5343744e+33           1.7903538e+03           5.3168000e+03           1.1379764e+13           5.3876788e-09           4.9845784e+11          
1.5343068e+33           1.8291772e+03           5.4335576e+03           1.1372058e+13           5.3853361e-09           5.0948831e+11          
1.5342147e+33           1.8628755e+03           5.5543714e+03           1.1361544e+13           5.3641659e-09           5.2092223e+11          
1.5341686e+33           1.8861275e+03           5.6468973e+03           1.1356259e+13           5.3411197e-09           5.2970002e+11          
1.5341195e+33           1.9101718e+03           5.7557141e+03           1.1350594e+13           5.3055504e-09           5.4004909e+11          
1.5340704e+33           1.9342637e+03           5.8809277e+03           1.1344885e+13           5.2561401e-09           5.5200118e+11          
1.5340213e+33           1.9523689e+03           5.9878070e+03           1.1339117e+13           5.2086142e-09           5.6225194e+11          
1.5339967e+33           1.9644515e+03           6.0628600e+03           1.1336205e+13           5.1743413e-09           5.6947870e+11          
1.5339722e+33           1.9833930e+03           6.1850898e+03           1.1333271e+13           5.1179037e-09           5.8131018e+11          
1.5339198e+33           2.0092377e+03           6.3548312e+03           1.1326943e+13           5.0407695e-09           5.9789614e+11          
1.5338675e+33           2.0351401e+03           6.5168407e+03           1.1320510e+13           4.9724046e-09           6.1393037e+11          
1.5338151e+33           2.0611013e+03           6.6663113e+03           1.1313982e+13           4.9154816e-09           6.2896216e+11          
1.5337628e+33           2.1018488e+03           6.8789352e+03           1.1307370e+13           4.8441268e-09           6.5084448e+11          
1.5336512e+33           2.1576009e+03           7.1155341e+03           1.1293040e+13           4.7870639e-09           6.7607229e+11          
1.5335395e+33           2.2154816e+03           7.3204560e+03           1.1278503e+13           4.7546535e-09           6.9894102e+11          
1.5334206e+33           2.2605202e+03           7.4554015e+03           1.1262861e+13           4.7449832e-09           7.1460323e+11          
1.5333611e+33           2.2906270e+03           7.5390842e+03           1.1255008e+13           4.7418879e-09           7.2459337e+11          
1.5333016e+33           2.3378952e+03           7.6614371e+03           1.1247139e+13           4.7413438e-09           7.3963055e+11          
1.5331749e+33           2.4026222e+03           7.8074220e+03           1.1230328e+13           4.7524550e-09           7.5833088e+11          
1.5330481e+33           2.5045539e+03           8.0108158e+03           1.1213507e+13           4.7797920e-09           7.8598208e+11          
1.5327780e+33           2.6496587e+03           8.2428368e+03           1.1177698e+13           4.8470222e-09           8.1998551e+11          
1.5324902e+33           2.8063160e+03           8.4494372e+03           1.1139829e+13           4.9361736e-09           8.5278077e+11          
1.5321837e+33           2.9583875e+03           8.6181633e+03           1.1099943e+13           5.0339377e-09           8.8153283e+11          
1.5319214e+33           3.0811281e+03           8.7379520e+03           1.1066256e+13           5.1176486e-09           9.0308902e+11          
1.5317301e+33           3.2484064e+03           8.8879542e+03           1.1041953e+13           5.2307327e-09           9.3153482e+11          
1.5313085e+33           3.4962338e+03           9.0763453e+03           1.0989206e+13           5.4102416e-09           9.6933763e+11          
1.5308390e+33           3.7016941e+03           9.2098227e+03           1.0931835e+13           5.5667295e-09           9.9745123e+11          
1.5305849e+33           3.8510671e+03           9.2997712e+03           1.0901411e+13           5.6795726e-09           1.0170837e+12          
1.5303187e+33           4.0105334e+03           9.3889618e+03           1.0869996e+13           5.8007981e-09           1.0370642e+12          
1.5300357e+33           4.1779663e+03           9.4760095e+03           1.0837103e+13           5.9287264e-09           1.0570482e+12          
1.5297488e+33           4.3557494e+03           9.5622676e+03           1.0804289e+13           6.0646565e-09           1.0773280e+12          
1.5294378e+33           4.5442222e+03           9.6475255e+03           1.0769280e+13           6.2089781e-09           1.0978189e+12          
1.5291231e+33           4.8490357e+03           9.7765746e+03           1.0734458e+13           6.4381131e-09           1.1297648e+12          
1.5284386e+33           5.1792605e+03           9.8992195e+03           1.0660671e+13           6.6930715e-09           1.1607363e+12          
1.5280696e+33           5.4152503e+03           9.9814113e+03           1.0622001e+13           6.8722742e-09           1.1819778e+12          
1.5276964e+33           5.6648617e+03           1.0063203e+04           1.0583638e+13           7.0608415e-09           1.2034391e+12          
1.5272956e+33           5.9283626e+03           1.0144381e+04           1.0543240e+13           7.2591578e-09           1.2250104e+12          
1.5268916e+33           6.2064568e+03           1.0225177e+04           1.0503320e+13           7.4672283e-09           1.2467391e+12          
1.5264588e+33           6.4998277e+03           1.0305510e+04           1.0461429e+13           7.6856153e-09           1.2685701e+12          
1.5260225e+33           6.9704427e+03           1.0427323e+04           1.0420073e+13           8.0292388e-09           1.3021987e+12          
1.5250862e+33           7.4797383e+03           1.0545253e+04           1.0334067e+13           8.4050833e-09           1.3348598e+12          
1.5245847e+33           7.8424008e+03           1.0624729e+04           1.0289500e+13           8.6678927e-09           1.3571466e+12          
1.5240796e+33           8.4234180e+03           1.0745559e+04           1.0245599e+13           9.0807218e-09           1.3914232e+12          
1.5229988e+33           9.0521487e+03           1.0863406e+04           1.0154745e+13           9.5300961e-09           1.4247730e+12          
1.5224223e+33           9.4983003e+03           1.0942839e+04           1.0107943e+13           9.8432179e-09           1.4474383e+12          
1.5218439e+33           9.9682565e+03           1.1022509e+04           1.0062054e+13           1.0170040e-08           1.4702386e+12          
1.5212273e+33           1.0463035e+04           1.1102320e+04           1.0014268e+13           1.0511314e-08           1.4931105e+12          
1.5206089e+33           1.1253470e+04           1.1223924e+04           9.9674633e+12           1.1045975e-08           1.5281770e+12          
1.5192903e+33           1.2110184e+04           1.1343877e+04           9.8711004e+12           1.1625771e-08           1.5625008e+12          
1.5185878e+33           1.2717728e+04           1.1425054e+04           9.8216008e+12           1.2029426e-08           1.5858273e+12          
1.5178848e+33           1.3687185e+04           1.1548956e+04           9.7732512e+12           1.2661034e-08           1.6215720e+12          
1.5163879e+33           1.4738993e+04           1.1672016e+04           9.6739399e+12           1.3344820e-08           1.6567094e+12          
1.5155914e+33           1.5485354e+04           1.1755589e+04           9.6230170e+12           1.3821075e-08           1.6806241e+12          
1.5147937e+33           1.6271165e+04           1.1839972e+04           9.5732583e+12           1.4317023e-08           1.7047362e+12          
1.5139464e+33           1.7098361e+04           1.1925111e+04           9.5216997e+12           1.4833802e-08           1.7289930e+12          
1.5130981e+33           1.8419023e+04           1.2055654e+04           9.4713380e+12           1.5642782e-08           1.7662161e+12          
1.5112948e+33           1.9853918e+04           1.2186558e+04           9.3681524e+12           1.6516969e-08           1.8030473e+12          
1.5103374e+33           2.0871696e+04           1.2275793e+04           9.3153987e+12           1.7125453e-08           1.8281293e+12          
1.5093791e+33           2.2496135e+04           1.2412955e+04           9.2639009e+12           1.8077279e-08           1.8666638e+12          
1.5073449e+33           2.4263089e+04           1.2551451e+04           9.1585717e+12           1.9104512e-08           1.9050281e+12          
1.5062654e+33           2.5516991e+04           1.2646194e+04           9.1047553e+12           1.9819648e-08           1.9311891e+12          
1.5051853e+33           2.6838332e+04           1.2742624e+04           9.0522386e+12           2.0563924e-08           1.9576759e+12          
1.5040401e+33           2.8230710e+04           1.2840753e+04           8.9979391e+12           2.1338707e-08           1.9844719e+12          
1.5028943e+33           3.0454131e+04           1.2992368e+04           8.9449556e+12           2.2550940e-08           2.0256893e+12          
1.5004645e+33           3.2877062e+04           1.3147270e+04           8.8366975e+12           2.3856690e-08           2.0671599e+12          
1.4991771e+33           3.4596787e+04           1.3253812e+04           8.7814677e+12           2.4765219e-08           2.0954864e+12          
1.4978892e+33           3.7343578e+04           1.3419052e+04           8.7275793e+12           2.6186702e-08           2.1390768e+12          
1.4951604e+33           4.0340699e+04           1.3589400e+04           8.6175447e+12           2.7715722e-08           2.1832752e+12          
1.4937157e+33           4.2468733e+04           1.3707107e+04           8.5614356e+12           2.8778591e-08           2.2135586e+12          
1.4922707e+33           4.4713978e+04           1.3828215e+04           8.5066811e+12           2.9883016e-08           2.2444511e+12          
1.4907413e+33           4.7083014e+04           1.3952900e+04           8.4501338e+12           3.1030698e-08           2.2759566e+12          
1.4892118e+33           5.0868428e+04           1.4147697e+04           8.3949507e+12           3.2822752e-08           2.3246876e+12          
1.4859751e+33           5.5007723e+04           1.4352015e+04           8.2823157e+12           3.4742954e-08           2.3749156e+12          
1.4842634e+33           5.7948973e+04           1.4494468e+04           8.2248765e+12           3.6074974e-08           2.4095224e+12          
1.4825514e+33           6.2650751e+04           1.4718400e+04           8.1687823e+12           3.8151733e-08           2.4632204e+12          
1.4789321e+33           6.7800151e+04           1.4956526e+04           8.0542744e+12           4.0369262e-08           2.5192491e+12          
1.4770197e+33           7.1461194e+04           1.5123689e+04           7.9958540e+12           4.1904580e-08           2.5579970e+12          
1.4751072e+33           7.5329875e+04           1.5298402e+04           7.9387509e+12           4.3493596e-08           2.5979643e+12          
1.4730870e+33           7.9419269e+04           1.5481214e+04           7.8797811e+12           4.5137410e-08           2.6392498e+12          
1.4710667e+33           8.5962732e+04           1.5771004e+04           7.8221087e+12           4.7691834e-08           2.7036934e+12          
1.4668004e+33           9.3150674e+04           1.6083426e+04           7.7042237e+12           5.0407844e-08           2.7719101e+12          
1.4645490e+33           9.8267016e+04           1.6303451e+04           7.6439913e+12           5.2282724e-08           2.8192970e+12          
1.4622976e+33           1.0646058e+05           1.6650997e+04           7.5850054e+12           5.5196188e-08           2.8931504e+12          
1.4575472e+33           1.1548381e+05           1.7018897e+04           7.4642880e+12           5.8322489e-08           2.9701358e+12          
1.4550425e+33           1.2191335e+05           1.7273871e+04           7.4025615e+12           6.0491978e-08           3.0230458e+12          
1.4525379e+33           1.2872555e+05           1.7534874e+04           7.3420592e+12           6.2752590e-08           3.0769778e+12          
1.4498976e+33           1.3594739e+05           1.7800080e+04           7.2795390e+12           6.5116210e-08           3.1316485e+12          
1.4472574e+33           1.4753207e+05           1.8205528e+04           7.2182569e+12           6.8826970e-08           3.2152819e+12          
1.4416938e+33           1.6034733e+05           1.8607275e+04           7.0928757e+12           7.2924562e-08           3.2982165e+12          
1.4387638e+33           1.6949647e+05           1.8877443e+04           7.0288720e+12           7.5797603e-08           3.3542580e+12          
1.4358341e+33           1.8419097e+05           1.9286435e+04           6.9661780e+12           8.0324784e-08           3.4396166e+12          
1.4296652e+33           2.0049698e+05           1.9690123e+04           6.8381500e+12           8.5335641e-08           3.5242657e+12          
1.4264192e+33           2.1215334e+05           1.9962989e+04           6.7729224e+12           8.8843612e-08           3.5819121e+12          
1.4231734e+33           2.2454607e+05           2.0238772e+04           6.7090705e+12           9.2521537e-08           3.6404400e+12          
1.4197587e+33           2.3773139e+05           2.0518487e+04           6.6433070e+12           9.6377827e-08           3.6999909e+12          
1.4163444e+33           2.5175960e+05           2.0803644e+04           6.5789330e+12           1.0041590e-07           3.7607530e+12          
1.4127538e+33           2.6669713e+05           2.1095435e+04           6.5126556e+12           1.0464710e-07           3.8228073e+12          
1.4091633e+33           2.7852684e+05           2.1318528e+04           6.4477642e+12           1.0795181e-07           3.8701552e+12          
1.4072761e+33           2.8683862e+05           2.1472693e+04           6.4141944e+12           1.1024244e-07           3.9028340e+12          
1.4053890e+33           2.9955017e+05           2.1704918e+04           6.3809779e+12           1.1369492e-07           3.9520259e+12          
1.4016151e+33           3.2686565e+05           2.2191060e+04           6.3155635e+12           1.2091953e-07           4.0547502e+12          
1.3936839e+33           3.5743713e+05           2.2713237e+04           6.1821632e+12           1.2874715e-07           4.1644083e+12          
1.3895186e+33           3.7937621e+05           2.3082668e+04           6.1141876e+12           1.3416839e-07           4.2414188e+12          
1.3853537e+33           4.0280091e+05           2.3473667e+04           6.0475145e+12           1.3978620e-07           4.3223247e+12          
1.3809803e+33           4.2783887e+05           2.3889627e+04           5.9787952e+12           1.4560027e-07           4.4076726e+12          
1.3766076e+33           4.5460256e+05           2.4333656e+04           5.9113104e+12           1.5160140e-07           4.4980050e+12          
1.3720181e+33           4.8324850e+05           2.4809282e+04           5.8416861e+12           1.5779247e-07           4.5938361e+12          
1.3674285e+33           5.0606362e+05           2.5188771e+04           5.7731928e+12           1.6255756e-07           4.6697023e+12          
1.3650208e+33           5.2212854e+05           2.5456205e+04           5.7376811e+12           1.6583009e-07           4.7228631e+12          
1.3626131e+33           5.4678061e+05           2.5866700e+04           5.7024383e+12           1.7072511e-07           4.8040437e+12          
1.3577986e+33           6.0006467e+05           2.6752198e+04           5.6327131e+12           1.8082885e-07           4.9776183e+12          
1.3476996e+33           6.6058472e+05           2.7744523e+04           5.4892916e+12           1.9165200e-07           5.1701892e+12          
1.3424058e+33           7.0435049e+05           2.8452854e+04           5.4154994e+12           1.9908943e-07           5.3067896e+12          
1.3371131e+33           7.5147594e+05           2.9201562e+04           5.3425289e+12           2.0680643e-07           5.4505748e+12          
1.3315660e+33           8.0232256e+05           2.9990319e+04           5.2668251e+12           2.1484724e-07           5.6015793e+12          
1.3260203e+33           8.5721655e+05           3.0818626e+04           5.1918609e+12           2.2324137e-07           5.7597964e+12          
1.3202103e+33           9.1661688e+05           3.1686576e+04           5.1140176e+12           2.3204131e-07           5.9253472e+12          
1.3144021e+33           9.8055818e+05           3.2589114e+04           5.0368462e+12           2.4123232e-07           6.0971816e+12          
1.3083898e+33           1.0503419e+06           3.3537425e+04           4.9575832e+12           2.5097561e-07           6.2775537e+12          
1.3022390e+33           1.1262020e+06           3.4526862e+04           4.8770885e+12           2.6126701e-07           6.4658108e+12          
1.2959472e+33           1.2088251e+06           3.5557469e+04           4.7953164e+12           2.7218179e-07           6.6618625e+12          
1.2895119e+33           1.2762011e+06           3.6357736e+04           4.7122248e+12           2.8093135e-07           6.8141261e+12          
1.2862213e+33           1.3233448e+06           3.6902907e+04           4.6699522e+12           2.8693682e-07           6.9179595e+12          
1.2829307e+33           1.3975825e+06           3.7737260e+04           4.6278093e+12           2.9621944e-07           7.0770973e+12          
1.2762012e+33           1.5056847e+06           3.8877686e+04           4.5419812e+12           3.0959906e-07           7.2950061e+12          
1.2693211e+33           1.6244665e+06           4.0043416e+04           4.4547633e+12           3.2408600e-07           7.5186827e+12          
1.2622881e+33           1.7222417e+06           4.0926756e+04           4.3661637e+12           3.3597984e-07           7.6890404e+12          
1.2586940e+33           1.7909817e+06           4.1519908e+04           4.3211333e+12           3.4424651e-07           7.8039211e+12          
1.2550998e+33           1.8997472e+06           4.2414073e+04           4.2762603e+12           3.5718715e-07           7.9779487e+12          
1.2477540e+33           2.0597640e+06           4.3599642e+04           4.1850065e+12           3.7629949e-07           8.2106038e+12          
1.2402484e+33           2.2374558e+06           4.4778266e+04           4.0925311e+12           3.9742833e-07           8.4447519e+12          
1.2325810e+33           2.3853411e+06           4.5653090e+04           3.9989226e+12           4.1506518e-07           8.6203611e+12          
1.2286652e+33           2.4898804e+06           4.6236841e+04           3.9515087e+12           4.2740013e-07           8.7384640e+12          
1.2247495e+33           2.6561948e+06           4.7114807e+04           3.9043477e+12           4.4678850e-07           8.9176247e+12          
1.2167522e+33           2.9037196e+06           4.8285293e+04           3.8087705e+12           4.7554021e-07           9.1592243e+12          
1.2085872e+33           3.1818252e+06           4.9469115e+04           3.7123492e+12           5.0737448e-07           9.4067358e+12          
1.2002526e+33           3.4161165e+06           5.0372369e+04           3.6151608e+12           5.3392060e-07           9.5972599e+12          
1.1959997e+33           3.5827369e+06           5.0985316e+04           3.5660930e+12           5.5247192e-07           9.7273819e+12          
1.1917468e+33           3.8494297e+06           5.1924425e+04           3.5173544e+12           5.8160858e-07           9.9278875e+12          
1.1830685e+33           4.1500114e+06           5.2899394e+04           3.4188339e+12           6.1409813e-07           1.0136844e+13          
1.1786426e+33           4.3644937e+06           5.3569031e+04           3.3691434e+12           6.3678036e-07           1.0281003e+13          
1.1742166e+33           4.7089658e+06           5.4607658e+04           3.3197935e+12           6.7238248e-07           1.0505105e+13          
1.1651903e+33           5.1001528e+06           5.5714091e+04           3.2200881e+12           7.1206752e-07           1.0743685e+13          
1.1605895e+33           5.3803447e+06           5.6483992e+04           3.1698183e+12           7.3975992e-07           1.0909643e+13          
1.1559887e+33           5.8320943e+06           5.7693813e+04           3.1198761e+12           7.8317319e-07           1.1170124e+13          
1.1466116e+33           6.3495782e+06           5.9018618e+04           3.0189523e+12           8.3150832e-07           1.1454326e+13          
1.1418356e+33           6.7218610e+06           5.9953371e+04           2.9680463e+12           8.6516260e-07           1.1654216e+13          
1.1370595e+33           7.1226274e+06           6.0942687e+04           2.9174180e+12           9.0046241e-07           1.1864949e+13          
1.1321962e+33           7.5549016e+06           6.1993434e+04           2.8661244e+12           9.3750934e-07           1.2087722e+13          
1.1273329e+33           7.9033229e+06           6.2828650e+04           2.8150663e+12           9.6664130e-07           1.2264099e+13          
1.1248687e+33           8.1459157e+06           6.3406375e+04           2.7892830e+12           9.8652368e-07           1.2385788e+13          
1.1224046e+33           8.5260085e+06           6.4305828e+04           2.7635483e+12           1.0170518e-06           1.2574593e+13          
1.1174119e+33           9.0727463e+06           6.5583460e+04           2.7115253e+12           1.0597720e-06           1.2841554e+13          
1.1124192e+33           9.6645074e+06           6.6948699e+04           2.6596491e+12           1.1044916e-06           1.3125279e+13          
1.1073629e+33           1.0147286e+07           6.8047145e+04           2.6072237e+12           1.1399259e-06           1.3352561e+13          
1.1048138e+33           1.0483578e+07           6.8806502e+04           2.5808308e+12           1.1640502e-06           1.3509182e+13          
1.1022648e+33           1.1012212e+07           6.9990289e+04           2.5544509e+12           1.2010892e-06           1.3752782e+13          
1.0971047e+33           1.1778687e+07           7.1674705e+04           2.5010521e+12           1.2532256e-06           1.4098044e+13          
1.0919446e+33           1.2616801e+07           7.3477330e+04           2.4476419e+12           1.3082475e-06           1.4466071e+13          
1.0867045e+33           1.3536214e+07           7.5405586e+04           2.3933472e+12           1.3665279e-06           1.4858330e+13          
1.0814644e+33           1.4291300e+07           7.6944751e+04           2.3389532e+12           1.4130321e-06           1.5170886e+13          
1.0788156e+33           1.4821657e+07           7.8009007e+04           2.3114165e+12           1.4449121e-06           1.5386739e+13          
1.0761668e+33           1.5660046e+07           7.9663489e+04           2.2838374e+12           1.4940974e-06           1.5721913e+13          
1.0708141e+33           1.6892490e+07           8.2009250e+04           2.2279291e+12           1.5644864e-06           1.6196201e+13          
1.0654613e+33           1.8257097e+07           8.4507444e+04           2.1717821e+12           1.6397789e-06           1.6700816e+13          
1.0600573e+33           1.9397271e+07           8.6508922e+04           2.1148079e+12           1.7010208e-06           1.7104969e+13          
1.0573392e+33           2.0201312e+07           8.7889465e+04           2.0860421e+12           1.7431308e-06           1.7383645e+13          
